t	min m/z	max m/z	charge
29	355.025839639	355.034360361	1
29	356.030027588	356.038572412	1
29	357.027515618	357.036084382	1
29	358.032903554	358.041496446	1
29	358.995092007	359.003707993	1
29	359.122990472	359.131609528	1
29	359.997879974	360.006520026	1
29	360.993768023	361.002431977	1
29	362.145354204	362.154045796	1
29	365.078719003	365.087480997	1
29	368.081982963	368.090817037	1
29	369.088770882	369.097629118	1
29	370.092058842	370.100941158	1
29	371.01884772	371.02775228	4
29	371.045747398	371.054652602	1
29	371.276144633	371.285055367	1
29	372.053135309	372.062064691	4
29	372.053135309	372.062064691	1
29	373.053123309	373.062076691	1
29	374.057111261	374.066088739	1
29	375.061199212	375.070200788	1
29	381.04792737	381.05707263	1
29	382.048315365	382.057484635	1
29	383.157302057	383.166497943	1
29	383.826594026	383.835805974	3
29	384.165989953	384.175210047	3
29	384.161890002	384.171109998	1
29	385.11367858	385.12292142	1
29	388.15454209	388.16385791	1
29	389.108830638	389.118169362	1
29	390.161818002	390.171181998	1
29	391.173305864	391.182694136	1
29	392.247192977	392.256607023	1
29	393.049283352	393.058716648	4
29	393.049283352	393.058716648	1
29	393.25858084	393.26801916	1
29	394.055171281	394.064628719	4
29	396.049147353	396.058652647	1
29	399.306308267	399.315891733	1
29	402.192173636	402.201826364	1
29	404.113150584	404.122849416	1
29	408.067303134	408.077096866	1
29	409.073891054	409.083708946	1
29	413.22754121	413.23745879	1
29	419.27326866	419.28333134	1
29	420.27995658	420.29004342	1
29	421.294844401	421.304955599	2
29	421.290144458	421.300255542	1
29	421.801338323	421.811461677	2
29	428.846153784	428.856446216	4
29	429.032251551	429.042548449	1
29	430.040739449	430.051060551	1
29	430.841429841	430.851770159	4
29	430.851029726	430.861370274	1
29	431.038327478	431.048672522	1
29	431.856317662	431.866682338	4
29	431.856317662	431.866682338	1
29	432.044215407	432.054584593	1
29	432.840905847	432.851294153	4
29	432.840905847	432.851294153	2
29	432.845705789	432.856094211	1
29	433.04400341	433.05439659	4
29	433.34899975	433.35940025	2
29	433.853193699	433.863606301	1
29	439.803822291	439.814377709	1
29	440.805810267	440.816389733	2
29	445.054859278	445.065540722	1
29	445.887749283	445.898450717	4
29	446.059747219	446.070452781	1
29	447.06293518	447.07366482	4
29	447.06293518	447.07366482	1
29	448.064323164	448.075076836	1
29	449.069211105	449.079988895	1
29	459.131890351	459.142909649	1
29	462.088154876	462.099245124	1
29	463.092442824	463.103557176	1
29	464.089030865	464.100169135	1
29	465.0944188	465.1055812	1
29	466.09770676	466.10889324	1
29	467.055395268	467.066604732	1
29	468.059583218	468.070816782	1
29	476.155186069	476.166613931	1
29	488.199741533	488.211458467	1
29	503.049263336	503.061336664	1
29	504.050251324	504.062348676	1
29	505.042039423	505.054160577	1
29	517.194393593	517.206806407	1
29	518.199981526	518.212418474	1
29	519.062371177	519.074828823	1
29	520.066959122	520.079440878	1
29	521.07454703	521.08705297	1
29	522.072235058	522.084764942	1
29	523.085622897	523.098177103	1
29	536.085866892	536.098733108	1
29	537.0935548	537.1064452	1
29	538.097342754	538.110257246	1
29	539.104030674	539.116969326	1
29	540.100018722	540.112981278	1
29	550.165197938	550.178402062	1
29	577.066675117	577.080524883	1
29	578.065263134	578.079136866	1
29	593.081682934	593.095917066	1
29	594.083270915	594.097529085	1
29	595.079658958	595.093941042	1
29	596.086346878	596.100653122	1
29	607.145714164	607.160285836	1
29	610.104078663	610.118721337	1
29	611.108566609	611.123233391	1
29	612.107454622	612.122145378	1
29	613.116942508	613.131657492	1
29	614.120730463	614.135469537	1
29	624.17000987	624.18499013	1
29	625.175897799	625.190902201	1
29	642.961084374	642.976515626	4
29	642.882385319	642.897814681	3
29	667.086894861	667.102905139	1
29	668.08698286	668.10301714	1
29	669.08947083	669.10552917	1
29	670.094158774	670.110241226	1
29	684.112090556	684.128509444	1
29	685.112278554	685.128721446	1
29	686.114766524	686.131233476	1
29	687.119354469	687.135845531	1
29	698.178421758	698.195178242	1
29	699.189809622	699.206590378	1
29	741.095906742	741.113693258	1
29	742.104294642	742.122105358	1
29	743.103882646	743.121717354	1
29	744.105470627	744.123329373	1
29	758.129802333	758.147997667	1
29	759.128290351	759.146509649	1
29	760.139878212	760.158121788	1
29	815.117318475	815.136881525	1
29	816.117806469	816.137393531	1
29	832.147314112	832.167285888	1
29	833.140602193	833.160597807	1
29	834.135590253	834.155609747	1
30	355.029439596	355.037960404	1
30	356.033627545	356.042172455	1
30	357.031115575	357.039684425	1
30	358.032903554	358.041496446	1
30	358.116602549	358.125197451	1
30	358.995092007	359.003707993	1
30	359.11569056	359.12430944	1
30	359.997879974	360.006520026	1
30	360.99736798	361.00603202	1
30	362.145354204	362.154045796	1
30	365.078719003	365.087480997	1
30	368.081982963	368.090817037	1
30	369.088770882	369.097629118	1
30	370.092058842	370.100941158	1
30	371.015047766	371.023952234	4
30	371.015047766	371.023952234	3
30	371.041947443	371.050852557	1
30	371.276044634	371.284955366	1
30	372.049335354	372.058264646	4
30	372.049335354	372.058264646	1
30	372.284432533	372.293367467	1
30	373.053123309	373.062076691	4
30	373.053123309	373.062076691	1
30	374.057111261	374.066088739	1
30	375.065099165	375.074100835	1
30	381.04792737	381.05707263	1
30	382.048315365	382.057484635	1
30	383.157302057	383.166497943	1
30	383.826594026	383.835805974	3
30	384.161890002	384.171109998	3
30	384.161890002	384.171109998	1
30	385.117778531	385.127021469	1
