t	min m/z	max m/z	charge
46	355.031569798	355.035830202	1
46	356.035663773	356.039936227	1
46	357.029657809	357.033942191	1
46	358.035051777	358.039348223	1
46	358.118751275	358.123048725	1
46	358.158751035	358.163048965	1
46	358.997246004	359.001553996	1
46	359.161645017	359.165954983	1
46	359.999939987	360.004260013	1
46	360.99953399	361.00386601	1
46	362.077227524	362.081572476	1
46	362.15122708	362.15557292	1
46	368.087991459	368.092408541	1
46	369.090985441	369.095414559	1
46	370.094279421	370.098720579	1
46	371.051773676	371.056226324	4
46	371.051773676	371.056226324	1
46	371.278272317	371.282727683	1
46	372.055367654	372.059832346	4
46	372.055367654	372.059832346	1
46	373.055361654	373.059838346	1
46	373.152061074	373.156538926	1
46	374.05935563	374.06384437	1
46	375.059549629	375.064050371	1
46	381.050213685	381.054786315	1
46	382.054607659	382.059192341	1
46	383.159601029	383.164198971	1
46	383.828897013	383.833502987	3
46	384.168294976	384.172905024	3
46	384.164195001	384.168804999	1
46	385.124089242	385.128710758	1
46	388.156871045	388.161528955	1
46	389.115265294	389.119934706	1
46	390.118559275	390.123240725	1
46	391.175652932	391.180347068	1
46	391.246352508	391.251047492	1
46	392.253746463	392.258453537	1
46	393.051641676	393.056358324	4
46	393.265040396	393.269759604	1
46	395.122229252	395.126970748	1
46	396.051523677	396.056276323	1
46	396.967118183	396.971881817	1
46	399.308704133	399.313495867	1
46	400.317398081	400.322201919	1
46	402.198886792	402.203713208	1
46	404.115575292	404.120424708	1
46	409.076245528	409.081154472	1
46	413.234520578	413.239479422	1
46	414.999009991	415.003990009	1
46	419.280384303	419.285415697	1
46	420.282378291	420.287421709	1
46	421.297372201	421.302427799	2
46	421.292672229	421.297727771	1
46	421.79916919	421.80423081	2
46	424.045255713	424.050344287	1
46	428.848726892	428.853873108	4
46	429.039525747	429.044674253	1
46	430.043219725	430.048380275	1
46	430.225218633	430.230381367	1
46	430.84401492	430.84918508	4
46	430.892014632	430.897185368	3
46	430.853614863	430.858785137	1
46	431.040913739	431.046086261	4
46	431.040913739	431.046086261	1
46	431.858908831	431.864091169	4
46	431.858908831	431.864091169	1
46	432.046807704	432.051992296	1
46	432.843502923	432.848697077	4
46	432.853202865	432.858397135	1
46	433.85579685	433.86100315	1
46	439.811361116	439.816638884	1
46	440.758755432	440.764044568	2
46	440.813355104	440.818644896	2
46	445.057529639	445.062870361	1
46	445.895524611	445.900875389	4
46	446.062423609	446.067776391	1
46	447.060517621	447.065882379	4
46	447.065517591	447.070882409	1
46	448.067011582	448.072388418	1
46	449.071905552	449.077294448	1
46	455.151669074	455.157130926	1
46	459.134645176	459.140154824	1
46	460.134539176	460.140060824	1
46	461.137733157	461.143266843	1
46	462.08552747	462.09107253	1
46	463.089821444	463.095378556	1
46	464.091815432	464.097384568	1
46	465.0972094	465.1027906	1
46	466.10050338	466.10609662	1
46	467.058197634	467.063802366	1
46	468.062391609	468.068008391	1
46	476.152443068	476.158156932	1
46	488.202570767	488.208429233	1
46	489.014465896	489.020334104	4
46	489.194464816	489.200335184	1
46	489.235164571	489.241035429	1
46	503.058281632	503.064318368	1
46	503.07038156	503.07641844	1
46	503.076481523	503.082518477	1
46	503.08858145	503.09461855	1
46	503.100681378	503.106718622	1
46	503.106781341	503.112818659	1
46	503.118881269	503.124918731	1
46	503.130981196	503.137018804	1
46	503.137081159	503.143118841	1
46	503.149181087	503.155218913	1
46	504.059275626	504.065324374	1
46	504.144375116	504.150424884	1
46	504.150475079	504.156524921	1
46	504.156575042	504.162624958	1
46	505.045069711	505.051130289	1
46	505.051169675	505.057230325	1
46	505.057269638	505.063330362	1
46	505.1303692	505.1364308	1
46	505.136469163	505.142530837	1
46	506.045663708	506.051736292	1
46	506.051763671	506.057836329	1
46	506.057963634	506.064036366	1
46	506.064063597	506.070136403	1
46	506.070163561	506.076236439	1
46	506.076263524	506.082336476	1
46	506.082363488	506.088436512	1
46	506.088463451	506.094536549	1
46	506.094563414	506.100636586	1
46	506.100663378	506.106736622	1
46	506.106863341	506.112936659	1
46	506.112963304	506.119036696	1
46	506.119063267	506.125136733	1
46	519.065485588	519.071714412	1
46	519.071785551	519.078014449	1
46	519.078185512	519.084414488	1
46	519.084485474	519.090714526	1
46	519.090885436	519.097114564	1
46	519.097185398	519.103414602	1
46	519.10358536	519.10981464	1
46	519.109885322	519.116114678	1
46	519.116285284	519.122514716	1
46	519.122585246	519.128814754	1
46	519.128985207	519.135214793	1
46	519.13528517	519.14151483	1
46	519.141685131	519.147914869	1
46	519.147985093	519.154214907	1
46	519.154385055	519.160614945	1
46	519.160685017	519.166914983	1
