t	min m/z	max m/z	charge
14	355.027969819	355.032230181	1
14	356.028463816	356.032736184	1
14	357.029657809	357.033942191	1
14	358.035051777	358.039348223	1
14	358.997246004	359.001553996	1
14	359.999939987	360.004260013	1
14	360.99953399	361.00386601	1
14	368.087991459	368.092408541	1
14	369.090985441	369.095414559	1
14	370.094279421	370.098720579	1
14	371.055673653	371.060126347	4
14	371.055673653	371.060126347	1
14	371.278272317	371.282727683	1
14	372.055367654	372.059832346	4
14	372.055367654	372.059832346	1
14	373.055361654	373.059838346	1
14	374.05935563	374.06384437	1
14	375.063449606	375.067950394	1
14	375.121949255	375.126450745	1
14	381.050213685	381.054786315	1
14	382.050607683	382.055192317	1
14	383.159601029	383.164198971	1
14	383.828897013	383.833502987	3
14	384.164195001	384.168804999	1
14	385.120089266	385.124710734	1
14	388.156871045	388.161528955	1
14	389.115265294	389.119934706	1
14	390.159959026	390.164640974	1
14	391.179852907	391.184547093	1
14	391.246352508	391.251047492	1
14	392.253746463	392.258453537	1
14	393.047441701	393.052158299	4
14	393.055841651	393.060558349	1
14	393.265040396	393.269759604	1
14	394.057435641	394.062164359	4
14	394.099535389	394.104264611	1
14	395.101129379	395.105870621	1
14	396.051523677	396.056276323	1
14	399.308704133	399.313495867	1
14	402.198886792	402.203713208	1
14	404.115575292	404.120424708	1
14	408.07415154	408.07904846	1
14	409.076245528	409.081154472	1
14	413.230020605	413.234979395	1
14	415.003609963	415.008590037	1
14	416.004003961	416.008996039	1
14	419.280384303	419.285415697	1
14	420.282378291	420.287421709	1
14	421.297372201	421.302427799	2
14	421.292672229	421.297727771	1
14	421.79916919	421.80423081	2
14	428.848726892	428.853873108	4
14	429.039525747	429.044674253	1
14	430.043219725	430.048380275	1
14	430.84401492	430.84918508	4
14	430.853614863	430.858785137	1
14	431.040913739	431.046086261	1
14	431.858908831	431.864091169	4
14	431.858908831	431.864091169	1
14	432.051707674	432.056892326	1
14	432.843502923	432.848697077	4
14	445.057529639	445.062870361	1
14	445.895524611	445.900875389	4
14	446.062423609	446.067776391	1
14	447.065517591	447.070882409	4
14	447.065517591	447.070882409	1
14	448.067011582	448.072388418	1
14	449.077005522	449.082394478	1
14	455.156869042	455.162330958	1
14	459.134645176	459.140154824	1
14	462.08552747	462.09107253	1
14	463.089821444	463.095378556	1
14	464.091815432	464.097384568	1
14	465.0972094	465.1027906	1
14	466.095103413	466.100696587	1
14	467.058197634	467.063802366	1
14	468.073291543	468.078908457	3
14	468.062391609	468.068008391	1
14	468.405089553	468.410710447	2
14	469.064385597	469.070014403	1
14	476.158043035	476.163756965	1
14	488.202570767	488.208429233	1
14	489.00866593	489.01453407	4
14	489.18866485	489.19453515	1
14	489.229364606	489.235235394	1
14	503.052181669	503.058218331	1
14	503.058281632	503.064318368	1
14	503.064381596	503.070418404	1
14	503.076481523	503.082518477	1
14	503.08858145	503.09461855	1
14	503.100681378	503.106718622	1
14	503.106781341	503.112818659	1
14	503.118881269	503.124918731	1
14	503.130981196	503.137018804	1
14	503.137081159	503.143118841	1
14	503.149181087	503.155218913	1
14	504.053275662	504.059324338	1
