t	min m/z	max m/z	charge
36	365.687605861	365.691994139	2
36	366.225602633	366.229997367	3
36	368.513888903	368.518311097	3
36	368.847286903	368.851713097	3
36	372.950362284	372.954837716	4
36	374.185954871	374.190445129	3
36	374.185954871	374.190445129	1
36	374.520252865	374.524747135	3
36	374.854550859	374.859049141	3
36	377.954932257	377.959467743	4
36	377.954932257	377.959467743	2
36	378.20603075	378.21056925	4
36	378.20603075	378.21056925	3
36	386.690779841	386.695420159	2
36	388.223370646	388.228029354	2
36	388.223370646	388.228029354	1
36	388.724767637	388.729432363	2
36	388.724767637	388.729432363	1
36	389.225764631	389.230435369	2
36	401.243792523	401.248607477	2
36	402.559884626	402.564715374	3
36	402.894682617	402.899517383	3
36	407.562054613	407.566945387	3
36	407.896652605	407.901547395	3
36	408.191650835	408.196549165	3
36	408.736147568	408.741052432	2
36	413.233120586	413.238079414	1
36	413.732217592	413.737182408	2
36	415.670705961	415.675694039	2
36	415.670705961	415.675694039	1
36	417.90749254	417.91250746	3
36	418.908086536	418.913113464	3
36	418.908086536	418.913113464	1
36	419.242284531	419.247315469	3
36	419.242284531	419.247315469	1
36	419.576682525	419.581717475	3
36	419.910680521	419.915719479	3
36	426.400141584	426.405258416	2
36	427.590434442	427.595565558	1
36	427.789933245	427.795066755	1
36	428.512728908	428.517871092	3
36	428.986026068	428.991173932	4
36	429.06912557	429.07427443	3
36	429.06912557	429.07427443	2
36	429.235624571	429.240775429	3
36	429.235624571	429.240775429	2
36	429.402623569	429.407776431	3
36	429.402623569	429.407776431	2
36	429.569522567	429.574677433	3
36	430.743715522	430.748884478	2
36	430.743715522	430.748884478	1
36	431.244312519	431.249487481	2
36	431.244312519	431.249487481	1
36	431.745409512	431.750590488	2
36	431.745409512	431.750590488	1
36	432.246506505	432.251693495	2
36	433.173900941	433.179099059	3
36	435.162889007	435.168110993	3
36	437.216276687	437.221523313	3
36	437.550474681	437.555725319	3
36	438.161671014	438.166928986	3
36	438.161671014	438.166928986	1
36	438.496369006	438.501630994	3
36	438.496369006	438.501630994	1
36	438.829567007	438.834832993	3
36	438.829567007	438.834832993	1
36	439.164065	439.169335	3
36	439.497662998	439.502937002	3
36	444.470933158	444.476266842	4
36	445.24062854	445.24597146	2
36	446.906218547	446.911581453	3
36	449.988800051	449.994199949	4
36	450.238098555	450.243501445	3
36	451.197492799	451.202907201	3
36	459.265244392	459.270755608	4
36	460.257738437	460.263261563	3
36	460.993034025	460.998565975	4
36	461.241832532	461.247367468	4
36	461.241832532	461.247367468	2
36	461.241832532	461.247367468	1
36	461.491331035	461.496868965	4
36	461.491331035	461.496868965	2
36	461.741529534	461.747070466	4
36	461.741529534	461.747070466	2
36	461.992328029	461.997871971	4
36	462.142027131	462.147572869	1
36	468.757087441	468.762712559	1
36	468.841586934	468.847213066	1
36	470.240778538	470.246421462	3
36	470.572676547	470.578323453	3
36	473.650258081	473.655941919	1
36	474.401053577	474.406746423	4
36	477.614234297	477.619965703	3
36	477.74213353	477.74786647	2
36	477.74213353	477.74786647	1
36	478.244930513	478.250669487	2
36	481.05551365	481.06128635	1
36	483.1971008	483.2028992	3
36	483.1971008	483.2028992	1
36	483.238600551	483.244399449	2
36	483.238600551	483.244399449	1
36	483.531598793	483.537401207	3
36	483.740097542	483.745902458	2
36	483.86539679	483.87120321	3
36	484.924090438	484.929909562	3
36	485.257888435	485.263711565	3
36	485.591586433	485.597413567	1
36	486.747979495	486.753820505	2
36	487.744073518	487.749926482	2
36	488.245070512	488.250929488	2
36	489.241464534	489.247335466	2
36	491.259052428	491.264947572	2
36	493.940636338	493.946563662	3
36	493.940636338	493.946563662	1
36	494.274934333	494.280865667	3
36	494.608932329	494.614867671	3
36	495.543126723	495.549073277	4
36	495.543126723	495.549073277	2
36	495.794025218	495.799974782	4
36	495.794025218	495.799974782	2
36	496.042623726	496.048576274	4
36	496.931218395	496.937181605	3
36	497.264516395	497.270483605	3
36	500.912994504	500.919005496	3
36	503.604078357	503.610121643	3
36	506.244762513	506.250837487	3
36	506.579160507	506.585239493	3
36	509.04194573	509.04805427	4
36	510.244238516	510.250361484	4
36	510.738135553	510.744264447	4
36	510.738135553	510.744264447	2
36	510.738135553	510.744264447	1
36	510.98853405	510.99466595	4
36	510.98853405	510.99466595	2
36	510.98853405	510.99466595	1
36	511.238832549	511.244967451	4
36	511.238832549	511.244967451	2
36	511.238832549	511.244967451	1
36	511.488031053	511.494168947	4
36	511.488031053	511.494168947	2
36	511.739629544	511.745770456	4
36	511.739629544	511.745770456	3
36	511.739629544	511.745770456	2
36	511.990528038	511.996671962	4
36	513.26022042	513.26637958	3
36	513.26022042	513.26637958	1
36	513.595918406	513.602081594	3
36	513.797317198	513.803482802	4
36	513.797317198	513.803482802	2
36	514.048315692	514.054484308	4
36	514.261514412	514.267685588	3
36	514.682011889	514.688188111	1
36	514.882210688	514.888389312	1
36	515.760705417	515.766894583	2
36	516.505400949	516.511599051	4
36	516.505400949	516.511599051	2
36	516.756399443	516.762600557	4
36	516.756399443	516.762600557	2
36	516.756399443	516.762600557	1
36	517.006697941	517.012902059	4
36	517.006697941	517.012902059	2
36	517.256996439	517.263203561	4
36	517.256996439	517.263203561	2
36	517.50529495	517.51150505	4
36	519.136485162	519.142714838	1
36	521.501370973	521.507629027	4
36	521.501370973	521.507629027	2
36	521.501370973	521.507629027	1
36	521.749569484	521.755830516	4
36	521.749569484	521.755830516	2
36	522.000367979	522.006632021	4
36	522.000367979	522.006632021	2
36	522.251766471	522.258033529	4
36	523.789957241	523.796242759	2
36	525.003149962	525.009450038	4
36	525.003149962	525.009450038	2
36	525.255448448	525.261751552	4
36	526.500340979	526.506659021	4
36	526.997737995	527.004062005	4
36	527.512834904	527.519165096	4
36	527.512834904	527.519165096	2
36	527.76523339	527.77156661	4
36	527.76523339	527.77156661	2
36	528.016631881	528.022968119	4
36	530.492217028	530.498582972	4
36	530.492217028	530.498582972	2
36	530.74351552	530.74988448	4
36	531.489411044	531.495788956	4
36	531.737409556	531.743790444	4
36	531.737409556	531.743790444	2
36	531.985908065	531.992291935	4
36	531.985908065	531.992291935	2
36	532.236106564	532.242493436	4
36	532.767103378	532.773496622	4
36	532.767103378	532.773496622	2
36	533.017201878	533.023598122	4
36	533.017201878	533.023598122	2
36	533.270600357	533.276999643	4
36	533.984796072	533.991203928	4
36	533.984796072	533.991203928	2
36	533.984796072	533.991203928	1
36	534.234694573	534.241105427	4
36	534.234694573	534.241105427	2
36	534.234694573	534.241105427	1
36	534.484893071	534.491306929	4
36	534.484893071	534.491306929	2
36	534.484893071	534.491306929	1
36	534.735591567	534.742008433	4
36	534.735591567	534.742008433	2
36	534.735591567	534.742008433	1
36	534.985890065	534.992309935	4
36	534.985890065	534.992309935	2
36	534.985890065	534.992309935	1
36	535.23678856	535.24321144	4
36	535.23678856	535.24321144	2
36	535.305888145	535.312311855	4
36	535.486187064	535.492612936	4
36	535.486187064	535.492612936	2
36	535.736985559	535.743414441	4
36	535.736985559	535.743414441	2
36	535.986984059	535.993415941	4
36	543.526638821	543.533161179	4
36	543.526638821	543.533161179	2
36	543.776837319	543.783362681	4
36	543.776837319	543.783362681	2
36	544.029835801	544.036364199	4
36	545.296128204	545.302671796	2
36	547.262216407	547.268783593	4
