t	min m/z	max m/z	charge
15	357.19625681	357.20054319	3
15	357.52945481	357.53374519	3
15	359.895040617	359.899359383	3
15	360.229738609	360.234061391	3
15	364.719211672	364.723588328	4
15	364.719211672	364.723588328	2
15	364.970910161	364.975289839	4
15	367.939092352	367.943507648	4
15	368.190490844	368.194909156	3
15	369.222684651	369.227115349	4
15	369.222684651	369.227115349	2
15	369.472683151	369.477116849	4
15	369.472683151	369.477116849	2
15	369.472683151	369.477116849	1
15	369.723081648	369.727518352	4
15	369.723081648	369.727518352	2
15	369.973780144	369.978219856	4
15	369.973780144	369.978219856	2
15	370.223178648	370.227621352	4
15	376.901438578	376.905961422	3
15	378.53932875	378.54387125	3
15	378.872526751	378.877073249	3
15	378.897426602	378.901973398	3
15	383.468599175	383.473200825	4
15	383.468599175	383.473200825	2
15	383.720897661	383.725502339	4
15	386.205882751	386.210517249	3
15	386.205882751	386.210517249	1
15	386.465781191	386.470418809	4
15	386.539880747	386.544519253	3
15	386.539880747	386.544519253	1
15	386.873978742	386.878621258	3
15	387.208176737	387.212823263	4
15	387.208176737	387.212823263	3
15	387.208176737	387.212823263	2
15	387.208176737	387.212823263	1
15	387.461275218	387.465924782	4
15	387.461275218	387.465924782	2
15	387.711973714	387.716626286	4
15	387.961572217	387.966227783	4
15	390.716355688	390.721044312	4
15	395.236828565	395.241571435	2
15	395.96092422	395.96567578	4
15	395.96092422	395.96567578	2
15	396.210822721	396.215577279	4
15	397.588814453	397.593585547	3
15	397.923712443	397.928487557	3
15	408.147451101	408.152348899	1
15	408.715047695	408.719952305	2
15	409.150245084	409.155154916	3
15	409.543142726	409.548057274	3
15	412.206626745	412.211573255	1
15	412.90092258	412.90587742	3
15	417.19909679	417.20410321	3
15	420.843774922	420.848825078	3
15	421.267872378	421.272927622	3
15	421.602670369	421.607729631	3
15	421.861868814	421.866931186	3
15	422.194766816	422.199833184	3
15	423.738257555	423.743342445	2
15	423.851656875	423.856743125	3
15	424.184854876	424.189945124	3
15	426.849638887	426.854761113	3
15	426.849638887	426.854761113	1
15	427.18403688	427.18916312	3
15	427.18403688	427.18916312	1
15	427.518934871	427.524065129	3
15	427.518934871	427.524065129	1
15	427.852832868	427.857967132	3
15	428.187530859	428.192669141	3
15	428.215030694	428.220169306	1
15	429.085225473	429.090374527	1
15	429.218324675	429.223475325	1
15	430.73241559	430.73758441	2
15	431.23411258	431.23928742	3
15	431.566310587	431.571489413	2
15	431.741909533	431.747090467	4
15	431.741909533	431.747090467	2
15	431.993008026	431.998191974	4
15	434.986090068	434.991309932	4
15	434.986090068	434.991309932	2
